timestamp,symbol,action,strength,composite,ema,imbalance,momentum,bayesian,large_orders,frequency,vol_confirm,ohara_score,reason,accepted
2025-12-08 15:20:53,BTCUSDT,HOLD,0,0.233,0.218,7.3,-65.8,BULLISH,STRONG_SELL,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:20:53,ETHUSDT,HOLD,0,0.170,0.159,7.1,-85.0,BULLISH,NEUTRAL,VERY_HIGH,NEUTRAL,2,very_high_activity,NO
2025-12-08 15:20:53,BNBUSDT,HOLD,0,0.044,0.033,4.1,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
2025-12-08 15:20:55,SOLUSDT,HOLD,0,0.528,0.495,-1.7,100.0,BULLISH,STRONG_BUY,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:20:55,ADAUSDT,HOLD,0,0.032,0.024,5.7,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
2025-12-08 15:20:55,DOGEUSDT,HOLD,0,0.083,0.063,10.6,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
2025-12-08 15:20:57,AVAXUSDT,HOLD,0,0.026,0.019,2.1,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
2025-12-08 15:20:57,TRXUSDT,HOLD,0,-0.015,-0.014,-73.6,82.6,BEARISH,STRONG_BUY,VERY_HIGH,NEUTRAL,5,very_high_activity,NO
2025-12-08 15:20:57,AAVEUSDT,HOLD,0,-0.059,-0.045,-0.6,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
2025-12-08 15:20:59,STRKUSDT,HOLD,0,0.097,0.073,17.2,0.0,NEUTRAL,NEUTRAL,UNKNOWN,UNKNOWN,0,below_threshold,NO
